appid,name,developer,publisher,owners,price,initialprice,discount,ccu,primary_genre
2770460,Lunavania,白狼游戏,Gamirror Games,0,9.99,999,0,17,Action
1122870,MINI Wars,Applykat,Applykat,0,6.99,699,0,0,Action
1359910,Mad Mosh,khos85,khos85,0,0.0,0,0,0,Action
1657020,Word Escape,Appstroid Studios,Appstroid Studios,0,1.99,199,0,0,Action
2490850,Fallen Angel: Hell Survival,Strongfinger,Strongfinger,0,19.99,1999,0,0,Action
1005420,Mental House,Occult Games,Occult Games,0,18.99,1899,0,0,Action
550200,World Destroyers,HardHead Games,HardHead Games,0,0.0,0,0,0,Action
1335510,The Escape from Bungalow,cursorstudio,cursorstudio,0,3.99,399,0,0,Action
2274390,Lawbringer,Entropic Island,Entropic Island,0,3.99,399,0,0,Action
2842120,Midnight Cruise,STuNT,STuNT,0,0.99,99,0,0,Action
1199060,Coin Pickers,Pablo Arismendi Rabe,Pablo Arismendi Rabe,0,0.0,0,0,0,Action
1290780,Residual,Orangepixel,"Orangepixel, HandyGames",0,19.99,1999,0,1,Action
1766200,Apocalich,Sokpop Collective,Sokpop Collective,0,2.49,499,50,0,Action
977430,Money Maker,Stanislaw Truchowski,TurnVex,0,0.0,0,0,0,Action
1167540,KiKi's adventure,Xin Tan,Xin Tan,0,0.69,199,65,0,Action
2127100,Grappling Dash,EpiXR Games UG,EpiXR Games UG,0,9.99,999,0,0,Action
641910,Bike Rush,Axyos Games,Axyos Games,0,0.99,499,80,0,Action
580940,Redneck Rampage Rides Again,Xatrix Entertainment,Interplay Entertainment Corp.,0,14.99,1499,0,0,Action
286730,Gunship!,MicroProse Software,MicroProse Software,0,6.99,699,0,0,Action
1694880,Spectrolite,"Noel Hetei, Andor Valentiny","Noel Hetei, Andor Valentiny",0,3.39,1699,80,0,Action
742900,Sleeping Dawn,Effimera Studio,Effimera Studio,0,7.99,799,0,0,Action
233530,Wake,Boss Baddie,Boss Baddie,0,4.99,499,0,0,Action
620900,Witchinour,mahojigoku,mahojigoku,0,5.99,599,0,0,Action
1108090,Climb With Wheelbarrow,Pickle Drugs,Pickle Drugs,0,0.99,99,0,0,Action
2490900,Blocks and Bones,HawkSandwich,HawkSandwich,0,4.99,499,0,0,Action
859610,S.T.R.E.T.C.H.,ARGames,Metal Fox,0,0.99,99,0,0,Action
1519230,The Last From Mars,Cualit Eng. Ltda.,Cualit Eng. Ltda.,0,7.99,799,0,0,Action
1043030,The Long Sky,Meng Games,Meng Games,0,0.99,99,0,0,Action
1500260,Desert Mystery,GamesLtd.,GamesLtd.,0,0.99,99,0,0,Action
2144110,Pot Breaker,Stuart Rutter,Stuart Rutter,0,1.99,199,0,0,Action
1607850,Planets Battle,Hede,Hede,0,99.99,9999,0,0,Action
555830,Vecitas,Patagoniart,Patagoniart,0,7.99,799,0,0,Action
1148000,Squirrel Jump,Boogygames Studios,Boogygames Studios,0,0.59,299,80,0,Action
710690,The Path of Motus,"Michael Hicks, Gonçalo Antunes",MichaelArts,0,14.99,1499,0,0,Action
1627180,Operation Insanity,Hollow World Games llc,Hollow World Games llc,0,1.99,199,0,0,Action
1213600,Peppered,Sokpop Collective,Sokpop Collective,0,1.49,299,50,0,Action
654430,STATUS: INSANE,Frostbullet,Frostbullet,0,0.99,99,0,0,Action
1184590,CubeHub,VirtexUniverse,VirtexUniverse,0,0.99,99,0,0,Action
868920,Pylow,Codev Games,Codev Games,0,0.0,0,0,0,Action
491660,Assault on the Necrospire,Mike Watson,Mike Watson,0,0.0,0,0,0,Action
798720,SUPER ROBO MOUSE,RCMADIAX,RCMADIAX,0,4.99,499,0,0,Action
341260,Isaac the Adventurer,"Artisiti, Studio Vrtinec",Artisiti,0,2.99,299,0,0,Action
811910,MRS SNAKE,Create Our Freedom,Create Our Freedom,0,1.99,199,0,0,Action
562090,Kronos,UroboroStudio,UroboroStudio,0,4.99,499,0,0,Action
681290,Hare,zelun_,zelun_,0,4.99,499,0,0,Action
501740,Dropship Down,Fast Forward Games,Fast Forward Games,0,0.0,0,0,0,Action
2026270,Super Virus Defense,Mad Noodle Studios,Mad Noodle Studios,0,3.99,399,0,0,Action
1456410,Paper Shooter!,Synox Games,Synox Games,0,3.99,399,0,0,Action
1180690,Spaceman,Conmtrast,LGV,0,4.99,499,0,0,Action
813240,Grim Town: Battle Tales,Gamenesis,Gamenesis,0,0.0,0,0,0,Action
1742750,Delta Zero,Tyler M Richardson,Tyler M Richardson,0,4.99,499,0,0,Action
2404160,Flying Carpets Over Shark Infested Waters,Mad Magpies Studio,Mad Magpies Studio,0,0.99,99,0,0,Action
1408070,Midnight Manor,Travis Maynard,Travis Maynard,0,2.99,299,0,0,Action
1158230,Hunter's Soul,HUNTERS,HUNTERS,0,4.99,499,0,0,Action
479170,Drunk Wizards,Strongbow,Sandstorm,0,7.99,799,0,0,Action
986480,Sharknado VR (Arcade Edition),"Autumn VR, Melcher Studios",Autumn VR,0,0.99,99,0,0,Action
868470,Heroes Arena,Victor Corradi,Corradi Games,0,0.0,0,0,0,Action
2006830,Maniacs,Mr.Ayushverma,UnusualGamesLT,0,5.99,599,0,0,Action
1848570,Skelton Zone Traveler Emergence,Bry Guy Studios,Bry Guy Studios,0,0.99,99,0,0,Action
1147460,Fail to Win,Ty Kennington,Ty Kennington,0,4.99,499,0,0,Action
2698730,Shooting Squirrel Simulator,The Shark Family,Cubic Pie Live,0,1.99,199,0,0,Action
1671440,Cliché Adventure,Taylor Robinson,Taylor Robinson,0,2.99,299,0,0,Action
2334050,Sword Smash,AquaRegia31.App,AquaRegia31.App,0,1.99,199,0,0,Action
2358200,BlockRunner : The BlockSide,MrStubby | Wadih,Stubby Studios,0,2.99,299,0,0,Action
2113970,The Original Island,泉州市兰梦网络科技中心（有限合伙）,泉州市兰梦网络科技中心（有限合伙）,0,15.99,1599,0,0,Action
2369550,Mike and the Zombies,Arthur de Souza Vasconcelos,Unleavened Games,0,0.99,99,0,0,Action
1673460,Swoon! Earth Escape,Cranky Alien Games,Soft Source Pte Ltd ,0,29.99,2999,0,0,Action
706210,Haul Asteroid,Real Maxwell,Real Maxwell LLC,0,0.99,99,0,0,Action
3361820,Beware Behind You,Jay Martel Dev,Jay Martel Dev,0,3.99,399,0,0,Action
1939770,Bash The Party,Ata Oz,Ata Oz,0,0.99,499,80,0,Action
671050,XMinutes: Wings,XMinutesGames,XMinutesGames,0,0.99,99,0,0,Action
1496120,Phantast,Shoho Games,Shoho Games,0,0.77,199,61,0,Action
862200,Bot Tales: The Crashed,Ohayo Software,Ohayo Software,0,0.99,99,0,0,Action
1381610,AEON BLOOD,S H B studio,S H B studio,0,9.99,999,0,0,Action
2071340,Cosmic Wartoad,Ocean Software,Pixel Games UK,0,2.99,299,0,0,Action
1377030,Gunnhildr,RatDog Games LLC,RatDog Games LLC,0,19.99,1999,0,0,Action
1351840,Onmyoudou - Arcade Edition,octokortex,octokortex,0,4.99,499,0,0,Action
563410,Necroball,King Crow Studios,King Crow Studios,0,7.99,799,0,0,Action
822720,The Amazing Bernard,Kumkwat Entertainment,Kumkwat Entertainment,0,4.99,499,0,0,Action
2475860,Bengbo,Wognum Studios,Wognum Studios,0,1.99,199,0,0,Action
1060470,Global Infection,Shangri-La Game Studios Ltd,Shangri-La Game Studios Ltd,0,4.99,499,0,0,Action
2434710,Tank And Roll,EdnakNP,EdnakNP,0,0.99,99,0,0,Action
1163320,Zombie horde,JY,JY,0,0.99,99,0,0,Action
1218670,Super Orbit,Tameem Hamoui,Cold And Old,0,0.0,0,0,0,Action
2063690,Humanities Legend: Dark Horizon,Derek Tanis,Derek Tanis,0,14.99,1499,0,0,Action
2155500,KFZ,Busy Cat Games,James Rhymer,0,1.99,199,0,0,Action
475080,Cavernus,frozenen,frozenen,0,0.99,99,0,0,Action
558850,Children of Colossus,Colossus Interactive,Colossus Interactive,0,4.99,499,0,0,Action
918700,Star99,Schine GmbH,Schine GmbH,0,2.99,299,0,0,Action
1199170,Gravity Escape From The Maze,SBM Games,SBM Games ,0,0.99,99,0,0,Action
601870,Biotoxin: The Dark Days,Fivesyounger Development,Fivesyounger Development,0,2.99,299,0,0,Action
1360150,At The Downstairs,R. Güray Aslı,R. Güray Aslı,0,2.99,299,0,0,Action
1248960,Bigwig Flint,Kanselsprot Entertainment,Kanselsprot Entertainment,0,9.99,999,0,0,Action
1251770,What The Bear?,Lonely Bear Studio,Lonely Bear Studio,0,3.99,399,0,0,Action
1070030,Under Stranger Stars,Flat Parrot,Flat Parrot,0,2.99,299,0,0,Action
2172500,Arcanima: Mist of Oblivion -  Prologue,Stendhal Games,Stendhal Games,0,6.99,699,0,0,Action
835660,Circle UP,CybeRoar,CybeRoar,0,3.99,399,0,0,Action
1227040,Devastation - Annihilate the Alien Race,Myke Wills,Enfenyx Games,0,2.99,299,0,0,Action
1587910,Cube Island,Boom Team,Boom Team,0,0.99,99,0,0,Action
1372630,Whizz Ball,SubZero Development Ltd,SubZero Development Ltd,0,3.99,399,0,0,Action
2231270,New Stars,adamjr,adamjr,0,19.99,1999,0,0,Action
1622010,Castle Greyrot,sawworm Games,sawworm Games,0,4.99,499,0,0,Action
1430040,Jump Again!,Dymchick1,Dymchick1,0,1.99,199,0,0,Action
1443260,Endless,Sagenta,Sagenta dev,0,1.99,199,0,0,Action
2460910,Pandora,Sunset Script,Sunset Script ,0,4.99,499,0,0,Action
2246810,Wild Americas,Upsetter Studios LLC,Upsetter Studios LLC,0,2.99,299,0,0,Action
1644830,Galactic Dream: Rage of War,Evolution Vault,Strategy First,0,4.99,499,0,0,Action
1594490,ZeroChance,Tamashii,Tamashii,0,1.99,199,0,0,Action
2857090,Waki & the lost spirits,Games by Spinola,Games by Spinola,0,1.99,199,0,0,Action
1685000,Topo Mix Game,Team Topo Siglo XXI,Erbe Software,0,5.99,599,0,0,Action
2486620,Uptown Outbreak,PRINTmov,PRINTmov,0,2.99,299,0,0,Action
1719250,Danger Zombies,RedBlack games,RedBlack games,0,1.99,199,0,0,Action
2994970,DOMUS ABSCONDITA,Elmeryn Studios,Elmeryn Studios,0,7.99,799,0,0,Action
1958350,River Rush,2nd Best Games,2nd Best Games,0,2.99,299,0,0,Action
1757440,Blazend,Rich Games,Rich Games,0,7.99,799,0,0,Action
2694390,Synthwave Runner,Schwan OG,Schwan OG,0,4.99,499,0,0,Action
1730020,Teamkill,Niko,Niko,0,3.99,399,0,0,Action
2870560,Fading Voices,Mad Harter Studio,Mad Harter Studio,0,5.99,599,0,0,Action
1335630,IMHA,IMHA,IMHA,0,7.99,799,0,0,Action
1636360,DRUM'N'BASS MASSACRE,illuminati,SA Industry,0,0.49,99,51,0,Action
3014090,Get Up In The Night,GUITN Studio,GUITN Studio,0,6.99,699,0,0,Action
2154290,Simantik,Steel Thunder,Steel Thunder,0,29.99,2999,0,0,Action
2212440,懐旧ノ絵詞,yocco,yocco,0,2.99,299,0,0,Action
2273810,击魂Z / Beat The Soul Z,THETABLE Z,THETABLE Z,0,1.99,199,0,0,Action
385100,Space - The Return Of The Pixxelfrazzer,Sørb,Sørb,0,2.99,299,0,0,Action
906020,Strike Cars,Action Portal,Action Portal,0,0.0,0,0,0,Action
814620,Central Intelligence,OCEAN Software,Ziggurat,0,4.99,499,0,0,Action
492860,Aperion Cyberstorm,aPriori Digital,aPriori Digital,0,10.99,1099,0,0,Action
295870,The Dungeoning,Nick Donnelly,Nick Donnelly,0,3.99,399,0,0,Action
818780,Scrunk,Sleepy Studios,Sleepy Studios,0,0.0,0,0,0,Action
1418990,Unicorns on Unicycles,Weyrdworks,Weyrdworks,0,12.99,1299,0,0,Action
1274060,The Ball Adventure,PG Entertainment,PG Entertainment,0,2.99,299,0,0,Action
824170,Relic Raiders,Crystallized Games,Crystallized Games,0,8.99,899,0,0,Action
2392070,Bullet Time Battle,Motion Game Studio,Motion Game Studio,0,1.99,199,0,0,Action
1624600,Realms VR,"Madman Games, RattlerCreed",Madman Games,0,0.99,99,0,0,Action
1459760,Mickey Storm and the Cursed Mask,Triangle Studios,Lion Castle Entertainment,0,9.99,999,0,0,Action
1528370,CHACAL,Pernich Media,Pernich Media,0,3.99,399,0,0,Action
713450,Dungeon Rustlers,"Zimventures, LLC","Zimventures, LLC",0,2.99,299,0,0,Action
1645070,Beat Defender,"Reda, Nick",Reda,0,4.99,499,0,0,Action
597990,I'm Titanium,SGS Team,SGS Team,0,7.99,799,0,0,Action
2815840,Nash Racing: Battle,"Tero Lunkka, Valkeala Software",Valkeala Software,0,4.99,499,0,0,Action
2755240,DESCENT: A Bunnyhopping Odyssey,Sora,Sora,0,1.19,599,80,0,Action
